Sample,seconds_elapsed,Acx,Acy,Acz,Gyx,Gyy,Gyz
178,7.7022,-44.737,-1.007,-0.427,0.02,0.04,-0.001
179,7.7232,-44.734,-1.038,-0.486,-0.024,-0.026,-0.001
180,7.7421,-44.734,-0.974,-0.447,0.024,0.059,0.002
180,7.763,-44.738,-0.979,-0.447,-0.016,-0.017,-0.002
181,7.782,-44.738,-0.94,-0.428,0.008,0.037,0.001
182,7.8029,-44.736,-0.93,-0.45,-0.014,-0.012,0.0
183,7.8238,-44.736,-0.909,-0.44,0.008,0.02,0.0
184,7.8427,-44.733,-0.915,-0.451,-0.005,-0.01,0.002
185,7.8637,-44.737,-0.897,-0.409,0.009,0.016,0.0
186,7.8826,-44.736,-0.896,-0.427,-0.007,-0.004,-0.001
187,7.9035,-44.736,-0.897,-0.421,0.007,0.012,0.001
188,7.9225,-44.736,-0.886,-0.422,-0.0,0.002,-0.001
189,7.9434,-44.739,-0.887,-0.401,0.006,0.01,0.0
189,7.9623,-44.736,-0.864,-0.398,0.002,0.006,0.002
190,7.9832,-44.737,-0.859,-0.381,0.003,0.005,0.0
191,8.0022,-44.738,-0.85,-0.389,-0.001,0.005,-0.001
192,8.0231,-44.74,-0.853,-0.37,-0.0,0.002,0.0
193,8.0421,-44.741,-0.841,-0.371,-0.002,0.004,-0.001
194,8.063,-44.741,-0.844,-0.378,-0.002,0.001,0.0
195,8.0819,-44.74,-0.827,-0.381,0.005,0.009,0.0
196,8.1029,-44.74,-0.827,-0.368,0.005,0.003,0.0
197,8.1237,-44.742,-0.813,-0.354,0.006,0.01,-0.001
198,8.1427,-44.744,-0.809,-0.336,0.002,0.003,0.0
198,8.1636,-44.745,-0.798,-0.34,0.001,0.008,-0.001
199,8.1825,-44.745,-0.8,-0.335,0.001,0.002,0.0
200,8.2035,-44.746,-0.786,-0.326,0.001,0.008,0.0
201,8.2224,-44.748,-0.784,-0.321,-0.001,0.004,-0.001
202,8.2433,-44.747,-0.771,-0.324,0.002,0.008,0.0
203,8.2623,-44.747,-0.768,-0.326,0.001,0.003,0.0
204,8.2832,-44.748,-0.762,-0.317,0.007,0.007,-0.001
205,8.3021,-44.749,-0.754,-0.302,0.004,0.006,0.0
206,8.323,-44.75,-0.743,-0.296,0.004,0.008,0.0
207,8.342,-44.749,-0.74,-0.291,0.003,0.003,0.001
207,8.3629,-44.749,-0.731,-0.279,0.004,0.006,0.0
208,8.3838,-44.75,-0.73,-0.279,-0.001,0.002,0.0
209,8.4028,-44.75,-0.721,-0.276,0.002,0.007,0.0
210,8.4237,-44.749,-0.719,-0.276,0.002,0.002,0.0
211,8.4426,-44.748,-0.715,-0.272,0.003,0.006,0.001
212,8.4636,-44.749,-0.708,-0.26,0.003,0.004,0.0
213,8.4825,-44.749,-0.7,-0.255,0.003,0.006,0.0
214,8.5034,-44.748,-0.694,-0.26,-0.0,0.005,0.001
